1,ам(н),（名）口,c04cd38aeb30f3ad1f8ab4e64a0ded7b.mp3,1
2,амт,（名）味道,8def24c6f2087f4f9b2e04c3d6d559b7.mp3,1
3,ан,（名）野兽,18b049cc8d8535787929df716f9f4e68.mp3,1
4,дан,（形）单独的，唯一的,9180b4da3f0c7e80975fad685f7f134e.mp3,1
5,дэн,（名）灯,32ce9c04a986b6360b0ea1984ed86c6c.mp3,1
6,нам,（名·形）党，矮的,22c78aadb8d25a53ca407fae265a7154.mp3,1
7,та,（代）您,fec8f2a3f2e808ccb17c4d278b4fa469.mp3,1
8,тэд,（代）他们,870fa8ee962d90af50c7eaed792b075a.mp3,1
9,тэнд,（副）那里,e5f5579b74a291d49034b067db5852e5.mp3,1
10,эд,（名）物品,b5f3729e5418905ad2b21ce186b1c01d.mp3,1
11,эм,（名）药,47e2e8c3fdb7739e740b95345a803cac.mp3,1
12,энд,（副）这里,7f021a1415b86f2d013b2618fb31ae53.mp3,1
13,аз,（名）幸福,cc8c0a97c2dfcd73caff160b65aa39e2.mp3,2
14,зам,（名）路,142cb104bb9ea93530eeb1a904e351c2.mp3,2
15,зан,（名）性格,11269ac928ab3e305bb29d3bd755c965.mp3,2
16,маш,（副）很，十分,c2177d4a10ba4d1778bc34562d05f55c.mp3,2
17,мод(н),（名）树，木头,ad148a3ca8bd0ef3b48c52454c493ec5.mp3,2
18,мөс(н),（名）冰,87cc641dcf8cd517865ee029a2369762.mp3,2
19,мэнд,（名）问候，健康，平安,c5738dc9da43aaa7157ef1e677c33dac.mp3,2
20,нас(н),（名）年龄,b9d04cd47823420fa061075ba05345de.mp3,2
21,ном,（名）书,aee37c30f5d091a495526f636a3527bb.mp3,2
22,од(н),（名）星,afc7e8a98f75755e513d9d5ead888e1d.mp3,2
23,он,（名）年,ed2b5c0139cec8ad2873829dc1117d50.mp3,2
24,өмд,（名）裤子,be54b4bc3e1bed147f2c20b8a47059dd.mp3,2
25,сам,（形）梳子,332532dcfaa1cbf61e2a266bd723612c.mp3,2
26,сан(г),（名）仓库,9f5a44a734ac9e43b5968d0f3b71d69b.mp3,2
27,том,（形）大,34b7da764b21d298ef307d04d8152dc5.mp3,2
28,тос(н),（名）油,227f82daef18fd97b0ed9538ce418761.mp3,2
29,цамц,（名）衬衫,872b57bb00e13f6b622ed4adc52500aa.mp3,2
30,цас(н),（名）雪,46bd2404e98ca7822028307b42761837.mp3,2
31,цөм,（副）都,e5df881ee9dca83224477e0d93119353.mp3,2
32,шат,（名）梯子,49a98a661039a29d113b9aa9160fb49c.mp3,2
33,ах,（名）哥哥,8cab4b3e958f712569f51a9b90c495a7.mp3,3
34,ач,（名）孙子；恩惠,dd57dcc23a3083551edd85e13c2d5668.mp3,3
35,дөч(н),（数）四十,ba71da3766aa38311a4d41706ff72833.mp3,3
36,мах(н),（名）肉,8c494cd6e4f2f0bc76c627b1d68bb2d1.mp3,3
37,нүд(н),（名）眼睛,6731166671c7bf914cfb6f651d990ad2.mp3,3
38,оч,（名）火花,7a49aafcef8b956f542016c86d67ddfd.mp3,3
39,сум(н),（名）箭；子弹,1d623b89683f9ce4e074de1676d12416.mp3,3
40,сүм,（名）庙,a40b6d3109a98321416ab3aa0d3c1a38.mp3,3
41,ус(н),（名）水,0b3b97fa66886c5688ee4ae80ec0c3c2.mp3,3
42,үд,（名）中午,69a349f0dfb7ba3ca80d8e1c5041c5df.mp3,3
43,үс(н),（名）头发，毛,db44ff009e860fd8b9f740e978193004.mp3,3
44,хот,（名）城市，浩特,e34e492878632183b6fe42bf9ec24448.mp3,3
45,хөх,（形）蓝色的,8212809fe876cbab18f4df5af397a1b0.mp3,3
46,хун,（名）天鹅,782ba846407bd42170f74bda4dbee168.mp3,3
47,хүн,（名）人,dded754676ac4f03e88c3e2bafaf0884.mp3,3
48,хүч(н),（名）力量,d9d0819841d6b1b1f3c05aee0d91c582.mp3,3
49,хэн,（代）谁,b877d88bfc39841eb3c7fc5f0b2f4961.mp3,3
50,эх,（名）母亲,340b254752698c55ebf3cb21507d2eeb.mp3,3
51,газар,（名）地方,f63a0a63f7e493c437f17c9b44980b0e.mp3,4
52,гар,（名）手,4618c2b26e9e222b2cf19471e1f2af8c.mp3,4
53,гэр,（名）毡包，家,98302eb9727009d08199b25b7b72b1cb.mp3,4
54,мал,（名）牲畜,749dfe7c0cd3b291ec96d0bb8924cb46.mp3,4
55,нар(н),（名）太阳,c0c669570f0dd6c896db86e0447802e8.mp3,4
56,ордон,（名）宫殿，宫,82b7b860532d8b35ea3b582ddeeda892.mp3,4
57,өмнө,（名）前；南面,9b9d33e1907989c26547a20543a4192c.mp3,4
58,өндөг(н),（名）蛋,5f84e1429150d292b892933126d8fde9.mp3,4
59,өчигдөр,（名）昨天,f32cac8a339bfc12c8a0583a855c8b19.mp3,4
60,танк,（名）坦克,4107c0a4db3fa48dd9aac2701b32b143.mp3,4
61,тэр,（代）他，那个,322650e1328739dbca646008305dd95e.mp3,4
62,үзэг,（名）钢笔,75d85bae8b39060ab737f410f3830692.mp3,4
63,үсэг,（名）字母,e77cf6040651c627d67371b1534cf327.mp3,4
64,хэл(н),（名）舌头，语言,47040b4496653f80f7752a6bb1a4852d.mp3,4
65,цаг,（名）钟表；小时；时间,584c70e3a31e2f04c94dc1a8b1828042.mp3,4
66,цэрэг,（名）士兵，军队,a454ad07791c65ccca35e21b54604feb.mp3,4
